school_id,name
610043,LOVETT
610062,MCCLELLAN
609967,FINKL
610230,WILDWOOD
609942,GOETHE
610353,CALMECA
610561,CRANE MEDICAL HS
609710,HARLAN HS
609793,NICHOLSON
610089,MURPHY
610223,WENTWORTH
610574,PROLOGUE - WINNIE MANDELA HS
400030,CICS - WEST BELDEN
609676,DUNBAR HS
610006,HURLEY
400043,HOPE INSTITUTE
609912,FARNSWORTH
609707,ROBESON HS
609935,GALLISTEL
609808,HALEY
610568,PATHWAYS - AVONDALE HS
610002,HOYNE
610193,NEW SULLIVAN
609884,DEVER
609939,GILLESPIE
610256,ROBINSON
609925,KELLMAN
400024,CICS - BASIL
609943,OWENS
610167,SEWARD
